Designator,Mid X,Mid Y,Layer,Rotation
"BZ1","152.9558mm","-26.2308mm","Top",0
"C1","124.0279mm","-29.9578mm","Top",0
"C2","130.0111mm","-21.3409mm","Top",0
"C3","124.0279mm","-31.6028mm","Top",0
"C4","130.0111mm","-25.9578mm","Top",0
"C5","130.0111mm","-27.9578mm","Top",0
"C6","130.0611mm","-24.2169mm","Top",0
"D1","120.3279mm","-33.3649mm","Top",0
"R1","130.0111mm","-22.7308mm","Top",0
"R2","151.0641mm","-35.5838mm","Top",0
"R3","151.0641mm","-37.2255mm","Top",0
"R4","151.0641mm","-38.8255mm","Top",0
"R5","151.0641mm","-40.4449mm","Top",0
"R6","139.3188mm","-35.5838mm","Top",0
"R7","139.3188mm","-37.2255mm","Top",0
"R8","139.3188mm","-38.8255mm","Top",0
"R9","139.3188mm","-40.4449mm","Top",0
"SC1","93.4994mm","-29.0178mm","Top",0
"SC2","93.4994mm","-44.033mm","Top",180
"SC4","48.5135mm","-29.0177mm","Top",180
"SC5","48.5135mm","-44.0331mm","Top",0
"U1","144.7768mm","-28.0328mm","Top",90
"U2","121.7279mm","-23.9178mm","Top",90
"U3","136.2938mm","-28.1578mm","Top",0
"U4","144.9418mm","-38.0255mm","Top",0
"U5","155.6558mm","-38.0255mm","Top",0
"Y1","128.7861mm","-31.6028mm","Top",0
