Designator,Mid X,Mid Y,Layer,Rotation
"BZ1","1.3607mm","27.5652mm","Top",0
"C1","-21.1147mm","-21.193mm","Top",0
"C2","26.1333mm","-2.089mm","Top",0
"C3","-18.211mm","-9.5943mm","Top",0
"C4","17.1848mm","-15.389mm","Top",0
"C5","20.2522mm","-14.1477mm","Top",0
"D1","-11.0449mm","22.1549mm","Top",0
"SC1","93.4994mm","-29.0178mm","Top",0
"SC2","93.4994mm","-44.033mm","Top",180
"SC4","48.5135mm","-29.0177mm","Top",180
"SC5","48.5135mm","-44.0331mm","Top",0
"U1","13.3802mm","-27.6542mm","Top",0
"U2","-18.0969mm","-8.0804mm","Top",0
"U3","26.2824mm","6.8395mm","Top",0
"Y1","24.4488mm","-11.904mm","Top",0
