Designator,Mid X,Mid Y,Layer,Rotation
"BZ1","152.9558mm","-27.5769mm","Top",0
"C1","124.0279mm","-31.3039mm","Top",0
"C2","130.0111mm","-22.687mm","Top",0
"C3","124.0279mm","-32.9489mm","Top",0
"C4","130.0111mm","-27.3039mm","Top",0
"C5","130.0111mm","-29.3039mm","Top",0
"C6","130.0611mm","-25.563mm","Top",0
"D1","120.3279mm","-34.711mm","Top",0
"R1","130.0111mm","-24.0769mm","Top",0
"R2","151.0641mm","-36.9299mm","Top",0
"R3","151.0641mm","-38.5716mm","Top",0
"R4","151.0641mm","-40.1716mm","Top",0
"R5","151.0641mm","-41.791mm","Top",0
"R6","139.3188mm","-36.9299mm","Top",0
"R7","139.3188mm","-38.5716mm","Top",0
"R8","139.3188mm","-40.1716mm","Top",0
"R9","139.3188mm","-41.791mm","Top",0
"SC1","93.4994mm","-30.3639mm","Top",0
"SC2","93.4994mm","-45.3791mm","Top",180
"SC4","48.5135mm","-30.3638mm","Top",180
"SC5","48.5135mm","-45.3792mm","Top",0
"U1","144.7768mm","-29.3789mm","Top",90
"U2","121.7279mm","-25.2639mm","Top",90
"U3","136.2938mm","-29.5039mm","Top",0
"U4","144.9418mm","-39.3716mm","Top",0
"U5","155.6558mm","-39.3716mm","Top",0
"Y1","128.7861mm","-32.9489mm","Top",0
